Metrics,Mean,Std.
AP (IoU=0.50:0.95) | area=all,0.8844000000000001,0.04940283392681031
AP (IoU=0.50)      | area=all,0.994,0.012000000000000009
AP (IoU=0.75)      | area=all,0.9822,0.023650792798551194
AP (IoU=0.50:0.95) | area=small,0.7569999999999999,0.12512234013156884
AP (IoU=0.50:0.95) | area=medium,0.8734,0.060081944043114996
AP (IoU=0.50:0.95) | area=large,0.9746,0.03340419135378073
AR (IoU=0.50:0.95) | maxDets=1,0.7814,0.0426079804731461
AR (IoU=0.50:0.95) | maxDets=10,0.9056000000000001,0.04275792324236528
AR (IoU=0.50:0.95) | maxDets=100,0.9077999999999999,0.043714528477383816
AR (IoU=0.50:0.95) | area=small,0.792,0.10911461863563471
AR (IoU=0.50:0.95) | area=medium,0.9007999999999999,0.05482116379647551
AR (IoU=0.50:0.95) | area=large,0.986,0.018547236990991423
