epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91524,1.63978,4.91957,1.03734,0.00301,0.7551,0.01078,0.00625,1.42705,4.1715,0.85991,0.00018,0.00018,0.00018
2,13.1356,1.33838,3.16826,0.89901,0.00358,0.89796,0.08266,0.03197,1.29429,3.99812,0.8275,0.0003762,0.0003762,0.0003762
3,16.9586,1.34163,2.39216,0.9105,0.00374,0.93878,0.01125,0.00454,1.1742,4.01169,0.81318,0.000568401,0.000568401,0.000568401
4,20.7946,1.25139,2.14814,0.90385,0.00366,0.91837,0.00993,0.00408,1.12599,4.00138,0.82264,0.000756602,0.000756602,0.000756602
5,24.5066,1.17738,2.14654,0.9369,0.00358,0.89796,0.00864,0.00297,1.25264,4.02973,0.85377,0.000940804,0.000940804,0.000940804
6,28.3206,1.28614,1.92555,0.88836,0.00325,0.81633,0.00786,0.00358,1.04461,3.79046,0.81951,0.00112101,0.00112101,0.00112101
7,32.0076,1.24208,1.73552,0.88197,0.00333,0.83673,0.00625,0.00382,1.04661,3.65592,0.81519,0.00129721,0.00129721,0.00129721
8,35.7967,1.21625,1.701,0.8795,0.0035,0.87755,0.00681,0.00417,1.13386,3.68912,0.83546,0.00146941,0.00146941,0.00146941
9,39.3048,1.20974,1.61774,0.88851,0.00382,0.95918,0.47944,0.30266,1.11869,3.3258,0.82241,0.00163761,0.00163761,0.00163761
10,42.8328,1.18899,1.68142,0.86556,0.02455,0.93878,0.82603,0.53759,1.08502,2.77232,0.81531,0.00180182,0.00180182,0.00180182
11,46.3058,1.09544,1.50758,0.87406,0.95714,0.45591,0.91328,0.50208,1.33271,2.1532,0.88519,0.00180002,0.00180002,0.00180002
12,49.8498,1.07294,1.43413,0.85785,0.90166,0.85714,0.87974,0.5461,1.17462,1.79366,0.83706,0.00178002,0.00178002,0.00178002
13,53.3548,1.08706,1.3042,0.87945,0.99756,0.87755,0.91275,0.63379,1.12628,1.38276,0.84317,0.00176002,0.00176002,0.00176002
14,56.8938,1.09306,1.28612,0.87207,0.95626,0.89234,0.92609,0.58944,1.19031,1.04301,0.8392,0.00174003,0.00174003,0.00174003
15,60.3958,1.07573,1.31519,0.86432,0.93632,0.90027,0.9272,0.61805,1.07073,1.10148,0.82161,0.00172003,0.00172003,0.00172003
16,63.9348,1.06682,1.13539,0.85418,0.9987,0.93878,0.96142,0.61219,1.09786,0.91899,0.82914,0.00170003,0.00170003,0.00170003
17,67.4078,0.98991,1.05563,0.87697,0.97835,0.92231,0.96985,0.70185,0.95463,0.82529,0.81402,0.00168003,0.00168003,0.00168003
18,70.9288,0.94245,1.0269,0.86381,0.99823,0.95918,0.97054,0.73411,0.91666,0.68132,0.80917,0.00166003,0.00166003,0.00166003
19,74.4508,0.94045,0.94507,0.85938,1,0.9546,0.97251,0.6829,1.03012,0.77749,0.80867,0.00164004,0.00164004,0.00164004
20,78.2098,1.00044,0.96333,0.84529,1,0.97643,0.97506,0.71706,0.9431,0.71324,0.80023,0.00162004,0.00162004,0.00162004
