epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4698,1.66168,5.7778,0.9905,0.00268,0.67347,0.00412,0.00178,1.3728,4.16206,0.85173,0.00018,0.00018,0.00018
2,32.0018,1.38011,3.45064,0.90466,0.00374,0.93878,0.01266,0.0044,1.35969,4.13054,0.84916,0.000376238,0.000376238,0.000376238
3,35.0179,1.18444,2.28321,0.86637,0.00358,0.89796,0.01057,0.00469,1.06201,4.00219,0.81337,0.000568516,0.000568516,0.000568516
4,37.7954,1.28865,2.23386,0.86034,0.00325,0.81633,0.009,0.00408,1.13145,4.04804,0.81999,0.000756834,0.000756834,0.000756834
5,41.6347,1.22689,2.04319,0.91447,0.00309,0.77551,0.00755,0.00342,1.48662,4.14321,0.88989,0.000941192,0.000941192,0.000941192
6,45.0682,1.37644,2.29857,0.95911,0.0026,0.65306,0.00466,0.002,1.16052,3.95062,0.85967,0.00112159,0.00112159,0.00112159
7,47.9966,1.19062,1.8928,0.90525,0.00358,0.89796,0.00922,0.00415,1.24545,3.73058,0.8597,0.00129803,0.00129803,0.00129803
8,50.9815,1.20513,1.68832,0.87685,0.00382,0.95918,0.10415,0.02951,1.19986,3.45278,0.84812,0.00147051,0.00147051,0.00147051
9,54.8974,1.15388,1.5528,0.90284,0.00366,0.91837,0.70277,0.49915,1.04557,2.9125,0.82842,0.00163902,0.00163902,0.00163902
10,58.1295,1.20717,1.59169,0.88784,1,0.22004,0.92441,0.61659,1.14643,2.34013,0.85499,0.00180358,0.00180358,0.00180358
11,61.0551,1.11256,1.53746,0.88595,1,0.63439,0.95347,0.57788,1.1933,2.10811,0.84509,0.001802,0.001802,0.001802
12,63.9446,1.16426,1.44558,0.8433,0.87526,0.71429,0.8877,0.56002,1.24869,1.74949,0.86991,0.0017822,0.0017822,0.0017822
13,67.8058,1.17792,1.35245,0.86803,0.92721,0.78001,0.90089,0.59172,1.13232,1.56538,0.8374,0.0017624,0.0017624,0.0017624
14,70.9199,1.08517,1.29553,0.86932,0.96978,0.93878,0.96122,0.65953,0.99194,1.17824,0.81663,0.0017426,0.0017426,0.0017426
15,73.9034,1.04532,1.23779,0.86253,0.94423,0.93878,0.93814,0.60248,1.11046,1.07545,0.82263,0.0017228,0.0017228,0.0017228
16,76.865,1.02243,1.25628,0.87031,0.96789,0.93878,0.95336,0.6757,0.99031,1.01772,0.81468,0.001703,0.001703,0.001703
17,80.9814,1.07937,1.14371,0.8731,0.97902,0.95243,0.96568,0.67713,0.95525,0.73754,0.8176,0.0016832,0.0016832,0.0016832
18,84.0317,1.00755,1.16232,0.85857,0.95664,0.93878,0.95118,0.63901,1.12089,0.80073,0.83411,0.0016634,0.0016634,0.0016634
19,86.9957,1.04646,1.05612,0.87411,0.97808,0.95918,0.96983,0.70133,0.92922,0.72971,0.8132,0.0016436,0.0016436,0.0016436
20,90.1329,1.01842,0.99968,0.87618,1,0.93501,0.95266,0.65023,0.97211,0.72135,0.81373,0.0016238,0.0016238,0.0016238
21,94.1092,0.99356,0.95781,0.83734,1,0.97819,0.97506,0.71533,0.83091,0.63783,0.79756,0.001604,0.001604,0.001604
22,97.0491,0.99397,0.97672,0.85138,0.9994,0.95918,0.95516,0.70395,0.89866,0.67449,0.80416,0.0015842,0.0015842,0.0015842
23,100.144,0.96608,0.91099,0.84667,0.99825,0.95918,0.95525,0.72393,0.85015,0.689,0.80364,0.0015644,0.0015644,0.0015644
24,103.198,0.92535,0.83592,0.82589,0.99901,0.95918,0.95514,0.74405,0.8258,0.59557,0.80644,0.0015446,0.0015446,0.0015446
25,107.183,0.90541,0.81566,0.85842,1,0.95704,0.96297,0.74112,0.8427,0.57181,0.80685,0.0015248,0.0015248,0.0015248
26,110.421,0.89549,0.82149,0.84889,0.99562,0.97959,0.97512,0.73375,0.77647,0.55799,0.79457,0.001505,0.001505,0.001505
27,113.273,0.96411,0.79267,0.84533,0.99554,0.97959,0.97511,0.71079,0.84379,0.54245,0.79666,0.0014852,0.0014852,0.0014852
28,116.275,0.90636,0.78311,0.84622,0.99441,0.97959,0.97512,0.74819,0.78996,0.55342,0.78629,0.0014654,0.0014654,0.0014654
29,120.407,0.89871,0.7487,0.83177,0.97898,0.95047,0.96222,0.67853,0.98704,0.59938,0.81411,0.0014456,0.0014456,0.0014456
30,123.383,0.94558,0.77082,0.84425,1,0.97542,0.97512,0.70493,0.89717,0.53928,0.79898,0.0014258,0.0014258,0.0014258
31,126.377,0.91882,0.7345,0.82888,0.99969,0.95918,0.97324,0.72507,0.86565,0.55657,0.80023,0.001406,0.001406,0.001406
32,129.32,0.86279,0.69465,0.83264,0.99942,0.97959,0.97514,0.71119,0.85537,0.52735,0.79175,0.0013862,0.0013862,0.0013862
33,133.347,0.91914,0.74236,0.82524,0.9768,0.95918,0.96057,0.71838,0.88633,0.52103,0.795,0.0013664,0.0013664,0.0013664
34,136.329,0.95732,0.7296,0.86057,0.97632,0.95918,0.95933,0.65427,0.90752,0.55265,0.79815,0.0013466,0.0013466,0.0013466
35,139.414,0.89406,0.66116,0.83781,0.97552,0.95918,0.96081,0.70148,0.86787,0.52358,0.79839,0.0013268,0.0013268,0.0013268
36,142.475,0.92256,0.69167,0.86698,1,0.97728,0.97518,0.68229,0.95018,0.56443,0.80526,0.001307,0.001307,0.001307
37,146.422,0.8717,0.67597,0.87511,0.97755,0.95918,0.96201,0.66636,0.95381,0.543,0.80946,0.0012872,0.0012872,0.0012872
38,149.448,0.87178,0.6719,0.85665,0.99792,0.97959,0.97534,0.70687,0.87001,0.50953,0.80373,0.0012674,0.0012674,0.0012674
39,152.363,0.86165,0.6646,0.84735,0.99678,0.97959,0.97578,0.68638,0.89091,0.51972,0.79844,0.0012476,0.0012476,0.0012476
40,155.539,0.83422,0.61537,0.82854,0.99656,0.97959,0.97689,0.76216,0.84134,0.49858,0.80079,0.0012278,0.0012278,0.0012278
41,159.522,0.92923,0.68756,0.82769,0.99758,0.97959,0.97771,0.70064,0.95106,0.54844,0.8135,0.001208,0.001208,0.001208
42,162.466,0.92787,0.64959,0.84008,1,0.97614,0.97745,0.76414,0.80362,0.48858,0.7927,0.0011882,0.0011882,0.0011882
43,165.487,0.91959,0.66082,0.87098,0.99833,0.97959,0.97691,0.73323,0.85646,0.51997,0.79572,0.0011684,0.0011684,0.0011684
44,168.663,0.99025,0.69187,0.82869,0.978,0.97959,0.97612,0.75276,0.81941,0.5309,0.79159,0.0011486,0.0011486,0.0011486
45,172.434,0.93122,0.63817,0.85001,0.986,0.97959,0.97686,0.77949,0.76583,0.48818,0.78671,0.0011288,0.0011288,0.0011288
46,175.336,0.90061,0.59889,0.82753,0.99818,0.97959,0.97758,0.69733,0.93139,0.49611,0.79869,0.001109,0.001109,0.001109
47,178.437,0.82778,0.59087,0.83204,0.99755,0.97959,0.97729,0.74758,0.80623,0.46098,0.7896,0.0010892,0.0010892,0.0010892
48,181.384,0.8381,0.583,0.82376,0.99727,0.93878,0.96169,0.72341,0.85076,0.48118,0.80056,0.0010694,0.0010694,0.0010694
49,185.46,0.81254,0.56661,0.84006,0.99679,0.93878,0.95994,0.75771,0.80259,0.46586,0.79539,0.0010496,0.0010496,0.0010496
50,188.422,0.78778,0.56312,0.84078,0.99863,0.97959,0.97753,0.75369,0.83652,0.48682,0.79623,0.0010298,0.0010298,0.0010298
51,191.396,0.81521,0.58711,0.8297,0.99789,0.97959,0.97633,0.74132,0.87539,0.49135,0.79774,0.00101,0.00101,0.00101
52,194.454,0.97669,0.61733,0.8359,0.99774,0.97959,0.97711,0.75828,0.78502,0.45741,0.78436,0.0009902,0.0009902,0.0009902
53,198.294,0.75877,0.65813,0.73207,0.99785,0.97959,0.97809,0.7315,0.86747,0.49791,0.79672,0.0009704,0.0009704,0.0009704
54,201.248,0.76225,0.55725,0.79887,0.99866,0.97959,0.97805,0.76342,0.74404,0.46831,0.78578,0.0009506,0.0009506,0.0009506
55,204.099,0.79955,0.54269,0.8331,0.97955,0.97781,0.97851,0.78193,0.74931,0.45945,0.79262,0.0009308,0.0009308,0.0009308
56,207.042,0.77744,0.54444,0.82916,0.95902,0.95523,0.97611,0.79318,0.72817,0.45548,0.79194,0.000911,0.000911,0.000911
57,211.014,0.72977,0.5085,0.80504,1,0.95273,0.9783,0.77271,0.74166,0.47313,0.79281,0.0008912,0.0008912,0.0008912
58,213.968,0.71796,0.51846,0.82458,1,0.95845,0.97853,0.77805,0.75681,0.47373,0.7935,0.0008714,0.0008714,0.0008714
59,216.865,0.71545,0.51044,0.83269,1,0.97821,0.97941,0.78381,0.74539,0.43994,0.79359,0.0008516,0.0008516,0.0008516
60,219.968,0.76166,0.52475,0.82965,0.97879,0.95918,0.97281,0.74184,0.84019,0.47257,0.80388,0.0008318,0.0008318,0.0008318
61,223.824,0.75657,0.52425,0.81866,1,0.95914,0.97955,0.73463,0.77869,0.48052,0.79531,0.000812,0.000812,0.000812
62,226.796,0.78671,0.51877,0.82389,0.99689,0.93878,0.96337,0.73322,0.82333,0.52107,0.79389,0.0007922,0.0007922,0.0007922
63,229.788,0.76502,0.51659,0.83299,1,0.95914,0.97666,0.78369,0.76732,0.47151,0.78403,0.0007724,0.0007724,0.0007724
64,232.833,0.76339,0.50293,0.85245,0.9999,0.97959,0.97961,0.77869,0.76085,0.4446,0.78081,0.0007526,0.0007526,0.0007526
65,236.673,0.71769,0.50277,0.80925,1,0.97876,0.97896,0.78193,0.75071,0.44691,0.78799,0.0007328,0.0007328,0.0007328
66,239.787,0.75554,0.51305,0.83653,1,0.97814,0.97944,0.76956,0.76038,0.4349,0.7865,0.000713,0.000713,0.000713
67,242.639,0.73493,0.49254,0.82085,0.99947,0.93878,0.96748,0.78329,0.7327,0.43914,0.78344,0.0006932,0.0006932,0.0006932
68,245.735,0.70269,0.46759,0.79945,0.99921,0.97959,0.97949,0.75725,0.7417,0.4413,0.77997,0.0006734,0.0006734,0.0006734
69,249.722,0.77556,0.4963,0.83773,0.9781,0.95918,0.96893,0.73876,0.81959,0.45569,0.79018,0.0006536,0.0006536,0.0006536
70,252.759,0.68706,0.47758,0.80069,0.99832,0.97959,0.97947,0.76747,0.73323,0.4368,0.78062,0.0006338,0.0006338,0.0006338
71,255.612,0.72926,0.48357,0.80119,1,0.97858,0.97848,0.76807,0.74885,0.43929,0.78111,0.000614,0.000614,0.000614
72,258.643,0.67571,0.46566,0.80006,1,0.97889,0.9799,0.73783,0.82991,0.45994,0.78776,0.0005942,0.0005942,0.0005942
73,262.525,0.7137,0.46861,0.7957,1,0.97936,0.98,0.79016,0.74644,0.43233,0.78139,0.0005744,0.0005744,0.0005744
74,265.441,0.68292,0.46724,0.79856,0.99836,0.97959,0.98043,0.80173,0.74024,0.42815,0.78137,0.0005546,0.0005546,0.0005546
75,268.415,0.68468,0.46896,0.78435,0.99822,0.97959,0.98027,0.80879,0.73734,0.42365,0.7821,0.0005348,0.0005348,0.0005348
76,271.443,0.71313,0.47323,0.83137,0.99897,0.97959,0.98185,0.78563,0.72308,0.43313,0.78014,0.000515,0.000515,0.000515
77,275.48,0.70741,0.47187,0.81466,0.99933,0.97959,0.98178,0.77767,0.7145,0.41941,0.78045,0.0004952,0.0004952,0.0004952
78,278.371,0.66069,0.46375,0.80721,0.97824,0.97959,0.98095,0.78651,0.70287,0.40674,0.78148,0.0004754,0.0004754,0.0004754
79,281.213,0.69629,0.45545,0.82074,0.99853,0.97959,0.98192,0.78525,0.71345,0.41165,0.78302,0.0004556,0.0004556,0.0004556
80,284.205,0.67463,0.4481,0.79225,0.99877,0.97959,0.98098,0.78057,0.75228,0.41961,0.78652,0.0004358,0.0004358,0.0004358
81,288.222,0.61971,0.42348,0.82655,0.9988,0.97959,0.97983,0.80005,0.72213,0.40217,0.78647,0.000416,0.000416,0.000416
82,291.075,0.71076,0.44922,0.8147,0.99871,0.97959,0.97915,0.78145,0.75263,0.42594,0.78708,0.0003962,0.0003962,0.0003962
83,294.158,0.70751,0.46445,0.80262,0.97771,0.95918,0.96012,0.76837,0.79306,0.42616,0.79014,0.0003764,0.0003764,0.0003764
84,297.098,0.69543,0.46055,0.80468,0.9777,0.95918,0.95987,0.77821,0.73373,0.4295,0.78675,0.0003566,0.0003566,0.0003566
85,301.229,0.66308,0.45088,0.79363,1,0.97895,0.9789,0.78874,0.71995,0.40888,0.78605,0.0003368,0.0003368,0.0003368
86,304.256,0.6854,0.45528,0.82639,0.97801,0.95918,0.96231,0.77313,0.74623,0.41012,0.78803,0.000317,0.000317,0.000317
87,307.205,0.6687,0.45201,0.83632,0.97794,0.95918,0.97154,0.78071,0.7523,0.41114,0.78437,0.0002972,0.0002972,0.0002972
88,310.169,0.67017,0.43961,0.81755,0.99854,0.97959,0.97987,0.77924,0.75595,0.398,0.7841,0.0002774,0.0002774,0.0002774
89,314.173,0.62521,0.42253,0.79417,0.9981,0.97959,0.9798,0.79361,0.72319,0.39203,0.78182,0.0002576,0.0002576,0.0002576
90,317.176,0.65199,0.44919,0.80144,0.99793,0.97959,0.97987,0.79825,0.72785,0.4046,0.77976,0.0002378,0.0002378,0.0002378
91,322.587,0.63345,0.45873,0.80897,0.99823,0.97959,0.97961,0.79023,0.72011,0.40748,0.77919,0.000218,0.000218,0.000218
92,327.548,0.59232,0.42648,0.8035,0.99849,0.97959,0.97983,0.79826,0.70004,0.40112,0.77564,0.0001982,0.0001982,0.0001982
93,330.59,0.63889,0.44308,0.80648,0.99838,0.97959,0.98043,0.8016,0.70847,0.40035,0.77497,0.0001784,0.0001784,0.0001784
94,333.497,0.60831,0.46966,0.80243,0.99832,0.97959,0.98103,0.82454,0.7284,0.40605,0.77555,0.0001586,0.0001586,0.0001586
95,336.534,0.63112,0.44803,0.78299,0.99827,0.97959,0.98159,0.83213,0.71781,0.40498,0.77782,0.0001388,0.0001388,0.0001388
96,340.481,0.60104,0.43147,0.78915,0.99842,0.97959,0.98213,0.81389,0.72564,0.40463,0.78107,0.000119,0.000119,0.000119
97,343.416,0.55744,0.42806,0.79332,0.99846,0.97959,0.98213,0.81084,0.72487,0.40571,0.78098,9.92e-05,9.92e-05,9.92e-05
98,346.379,0.68871,0.44895,0.80641,0.99854,0.97959,0.98213,0.80132,0.71762,0.39189,0.78042,7.94e-05,7.94e-05,7.94e-05
99,349.276,0.55792,0.43108,0.82392,0.99872,0.97959,0.98206,0.80432,0.71115,0.3912,0.77978,5.96e-05,5.96e-05,5.96e-05
100,353.366,0.66878,0.45888,0.80445,0.99888,0.97959,0.98185,0.79588,0.70885,0.38397,0.78037,3.98e-05,3.98e-05,3.98e-05
