epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1388,1.44993,2.42031,1.45535,0.92614,0.35838,0.39205,0.26354,1.39954,2.21997,1.44244,0.000548355,0.000548355,0.000548355
2,73.5432,1.38461,1.63384,1.36944,0.50404,0.36952,0.33261,0.17826,1.62197,2.11238,1.55866,0.00109309,0.00109309,0.00109309
3,96.7403,1.38863,1.39649,1.34489,0.61374,0.36946,0.39059,0.20613,1.84252,1.79207,1.76487,0.00162683,0.00162683,0.00162683
4,119.966,1.35492,1.24534,1.32815,0.71159,0.44749,0.51505,0.32391,1.33973,1.19552,1.37991,0.00161749,0.00161749,0.00161749
5,142.992,1.28741,1.09034,1.28416,0.59265,0.60864,0.53513,0.3439,1.2853,1.05475,1.30374,0.00160099,0.00160099,0.00160099
6,164.854,1.3068,1.02354,1.26665,0.61984,0.5972,0.55499,0.34949,1.3446,1.04966,1.3136,0.00158448,0.00158448,0.00158448
7,187.951,1.23853,0.98311,1.25335,0.65011,0.6513,0.58373,0.37049,1.2416,0.88238,1.25034,0.00156798,0.00156798,0.00156798
8,210.735,1.20236,0.92081,1.22855,0.62675,0.62829,0.59032,0.37877,1.23523,0.86307,1.25596,0.00155148,0.00155148,0.00155148
9,233.486,1.21279,0.90753,1.232,0.58552,0.63243,0.60211,0.35054,1.36133,0.89458,1.34241,0.00153497,0.00153497,0.00153497
10,255.36,1.19004,0.86244,1.2054,0.60694,0.60826,0.56221,0.35727,1.2502,0.85991,1.27669,0.00151847,0.00151847,0.00151847
11,278.325,1.18119,0.86505,1.20748,0.63338,0.63708,0.62487,0.3962,1.19937,0.80828,1.21787,0.00150197,0.00150197,0.00150197
12,301.576,1.17442,0.83935,1.20131,0.7034,0.68355,0.65237,0.39974,1.19109,0.82396,1.21247,0.00148546,0.00148546,0.00148546
13,324.595,1.16766,0.83995,1.19663,0.67134,0.64052,0.65005,0.39347,1.23196,0.81018,1.27288,0.00146896,0.00146896,0.00146896
14,347.57,1.10096,0.78655,1.16011,0.7095,0.66478,0.67723,0.42211,1.16031,0.79412,1.19875,0.00145246,0.00145246,0.00145246
15,370.145,1.13265,0.79636,1.18047,0.69654,0.68355,0.67784,0.38872,1.3069,0.829,1.30727,0.00143595,0.00143595,0.00143595
