epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3004,1.48255,5.21373,0.95459,0.00244,0.6383,0.00318,0.00142,1.67607,4.31091,0.90693,0.00018,0.00018,0.00018
2,28.3342,1.44943,3.46844,0.91007,0.00285,0.74468,0.00976,0.00457,1.15851,4.11989,0.88333,0.000376238,0.000376238,0.000376238
3,31.4439,1.35465,2.5572,0.88026,0.00228,0.59574,0.00547,0.00229,1.10835,4.17066,0.89539,0.000568516,0.000568516,0.000568516
4,34.8378,1.23588,2.42767,0.87361,0.00325,0.85106,0.00869,0.00381,1.12233,3.99224,0.88596,0.000756834,0.000756834,0.000756834
5,38.3694,1.26442,2.23267,0.90074,0.00358,0.93617,0.00662,0.00274,1.13883,3.83837,0.88166,0.000941192,0.000941192,0.000941192
6,41.3097,1.31253,2.0958,0.91615,0.00285,0.74468,0.00568,0.00262,1.20423,5.99107,0.91586,0.00112159,0.00112159,0.00112159
7,44.2857,1.17123,1.97355,0.85389,0.00317,0.82979,0.00742,0.00377,1.29191,3.76906,0.93262,0.00129803,0.00129803,0.00129803
8,47.5677,1.14595,1.79911,0.89158,0.00317,0.82979,0.00792,0.00489,1.31714,3.98315,0.96251,0.00147051,0.00147051,0.00147051
9,51.2115,1.15476,1.6838,0.88218,0.0035,0.91489,0.03875,0.02632,1.19799,3.8972,0.92096,0.00163902,0.00163902,0.00163902
10,55.2178,1.22569,1.75527,0.9079,0.20844,0.12339,0.43393,0.25664,1.20099,2.87104,0.91935,0.00180358,0.00180358,0.00180358
11,58.2832,1.19065,1.74231,0.8832,0.83105,0.52348,0.81497,0.48839,1.25902,2.44502,0.9233,0.001802,0.001802,0.001802
12,62.2219,1.1835,2.081,0.83878,0.97457,0.8155,0.93351,0.60929,1.15677,1.99955,0.91241,0.0017822,0.0017822,0.0017822
13,65.2946,1.22924,1.73804,0.93318,1,0.91718,0.99188,0.67253,1.03056,1.50485,0.90147,0.0017624,0.0017624,0.0017624
14,68.2198,1.17665,1.5283,0.87295,0.9644,0.91489,0.96567,0.65733,1.08137,1.2051,0.9028,0.0017426,0.0017426,0.0017426
